Marks,Rank
185,8286
192,7055
267,877
125,32559
86,80665
157,15829
180,9336
253,1401
216,3932
340,12
84,87409
122,35000
147,19995
53,224699
94,67503
34,463000
254,1331
190,7448
130,29136
155,16480
57,192769
95,66023
72,121596
115,40815
215,4029
202,5565
185,8354
206,4998
350,1
175,10587
132,28013
280,660
186,8500
180,8910
127,30000
84,87000
196,6471
273,716
243,1870
225,3089
223,3314
210,4496
203,5352
194,6638
84,87409
130,29136
155,16480
57,192769
72,121596
103,53798
202,5565
67,141116
210,4445
116,40274
37,399007
57,192769
